time,odom_x,odom_y,kf_x,kf_y,kf_cov_x,kf_cov_y,kf_cov_yaw,ekf_x,ekf_y,ekf_cov_x,ekf_cov_y,ekf_cov_yaw,pf_x,pf_y,pf_cov_x,pf_cov_y,pf_cov_yaw,kf_rmse,ekf_rmse,pf_rmse
2.860000,0.222900,0.000000,0.230637,0.000000,1.424502,1.424502,1.422410,0.241925,0.000000,1.433551,1.437436,0.153420,0.149091,0.055337,0.000000,0.000000,0.000000,0.002911,0.007405,0.056194
2.880000,0.226900,0.000000,0.235540,0.000000,1.434527,1.434527,1.432420,0.246498,0.000000,1.443577,1.447720,0.154430,0.164771,0.065675,0.000000,0.000000,0.000000,0.002990,0.007558,0.056505
2.900000,0.230900,0.000000,0.239235,0.000000,1.444549,1.444549,1.442429,0.250566,0.000000,1.453598,1.457977,0.155439,0.158566,0.065057,0.000000,0.000000,0.000000,0.003059,0.007708,0.056889
2.920000,0.234900,0.000000,0.243662,0.000000,1.454573,1.454573,1.452438,0.254956,0.000000,1.463622,1.468261,0.156449,0.160127,0.068361,0.000000,0.000000,0.000000,0.003134,0.007860,0.057313
2.940000,0.238900,0.000000,0.247682,0.000000,1.464595,1.464595,1.462447,0.259100,0.000002,1.473644,1.478534,0.157457,0.172378,0.090677,0.000000,0.000000,0.000000,0.003207,0.008010,0.057870
2.960000,0.242981,0.000016,0.251754,0.000000,1.474617,1.474617,1.472456,0.263423,0.000020,1.483666,1.488827,0.158466,0.173859,0.089518,0.000000,0.000000,0.000000,0.003277,0.008158,0.058422
2.980000,0.246980,0.000101,0.256145,0.000000,1.484640,1.484640,1.482465,0.267713,0.000112,1.493689,1.499121,0.159475,0.181253,0.085799,0.000000,0.000000,0.000000,0.003352,0.008308,0.058898
3.000000,0.250976,0.000265,0.260426,0.000000,1.494663,1.494663,1.492474,0.271975,0.000294,1.503712,1.509420,0.160485,0.179608,0.101229,0.000000,0.000000,0.000000,0.003429,0.008456,0.059567
3.020000,0.254969,0.000509,0.265083,0.000000,1.504687,1.504687,1.502484,0.276419,0.000580,1.513736,1.519737,0.161494,0.187236,0.096212,0.000000,0.000000,0.000000,0.003516,0.008608,0.060135
3.040000,0.258956,0.000833,0.269902,0.000000,1.514712,1.514712,1.512494,0.280956,0.000973,1.523762,1.530068,0.162504,0.192558,0.113957,0.000000,0.000000,0.000000,0.003617,0.008765,0.060879
