time,odom_x,kf_x,ekf_x,pf_x
105.480000,0.000000,-0.000000,-0.000000,-0.061984
105.500000,0.000000,-0.000000,-0.000000,-0.062570
105.520000,0.000000,-0.000000,-0.000000,-0.058336
105.540000,0.000000,-0.000000,-0.000000,-0.050818
105.560000,0.000000,-0.000000,-0.000000,-0.047103
105.580000,0.000000,-0.000000,-0.000000,-0.053291
105.600000,0.000000,-0.000000,-0.000000,-0.047841
105.620000,0.000000,-0.000000,-0.000000,-0.049612
105.640000,0.000000,-0.000000,-0.000000,-0.057711
105.660000,0.000000,-0.000000,-0.000000,-0.060112
105.680000,0.000000,-0.000000,-0.000000,-0.069577
105.700000,0.000000,-0.000000,-0.000000,-0.071885
105.720000,0.000000,-0.000000,-0.000000,-0.076916
105.740000,0.000000,-0.000000,-0.000000,-0.075281
105.760000,0.000000,-0.000000,-0.000000,-0.088338
105.780000,0.000000,-0.000000,-0.000000,-0.093162
105.800000,0.000000,-0.000000,-0.000000,-0.100830
105.820000,0.000000,-0.000000,-0.000000,-0.099676
105.840000,0.000000,-0.000000,-0.000000,-0.096051
105.860000,0.000000,-0.000000,-0.000000,-0.104234
105.880000,0.000000,-0.000000,-0.000000,-0.104265
105.900000,0.000000,-0.000000,-0.000000,-0.103026
105.920000,0.000000,-0.000000,-0.000000,-0.098509
105.940000,0.000000,-0.000000,-0.000000,-0.108607
105.960000,0.000000,-0.000000,-0.000000,-0.107671
105.980000,0.000000,-0.000000,-0.000000,-0.110337
106.000000,0.000000,-0.000000,-0.000000,-0.114660
106.020000,0.000000,-0.000000,-0.000000,-0.110618
106.040000,0.000000,-0.000000,-0.000000,-0.112687
106.060000,0.000000,-0.000000,-0.000000,-0.120992
106.080000,0.000000,-0.000000,-0.000000,-0.116765
106.100000,0.000000,-0.000000,-0.000000,-0.118849
106.120000,0.000000,-0.000000,-0.000000,-0.114666
106.140000,0.000000,-0.000000,-0.000000,-0.107318
106.160000,0.000000,-0.000000,-0.000000,-0.095591
106.180000,0.000000,-0.000000,-0.000000,-0.099779
106.200000,0.000000,-0.000000,-0.000000,-0.095161
106.220000,0.000000,-0.000000,-0.000000,-0.092226
106.240000,0.000000,-0.000000,-0.000000,-0.089963
106.260000,0.000000,-0.000000,-0.000000,-0.091045
106.280000,0.000000,-0.000000,-0.000000,-0.094077
106.300000,0.000000,-0.000000,-0.000000,-0.091864
106.320000,0.000000,-0.000000,-0.000000,-0.091013
106.340000,0.000000,-0.000000,-0.000000,-0.079991
106.360000,0.000000,-0.000000,-0.000000,-0.090082
106.380000,0.000000,-0.000000,-0.000000,-0.092771
106.400000,0.000000,-0.000000,-0.000000,-0.084612
106.420000,0.000000,-0.000000,-0.000000,-0.087206
106.440000,0.000000,-0.000000,-0.000000,-0.083885
106.460000,0.000000,-0.000000,-0.000000,-0.089604
106.480000,0.000000,-0.000000,-0.000000,-0.086413
106.500000,0.000004,0.000028,0.000019,-0.085392
106.520000,0.000272,0.000138,0.000659,-0.104056
106.540000,0.000961,0.000324,0.001755,-0.113523
106.560000,0.002051,0.000620,0.003380,-0.105938
106.580000,0.003540,0.001074,0.005580,-0.102379
106.600000,0.005428,0.001688,0.008143,-0.097569
106.620000,0.007715,0.002608,0.011307,-0.107761
106.640000,0.010399,0.004904,0.015439,-0.099055
106.660000,0.013481,0.007243,0.020241,-0.078039
106.680000,0.016958,0.008752,0.024967,-0.059472
106.700000,0.020821,0.010807,0.030251,-0.052423
106.720000,0.024799,0.013514,0.035671,-0.031381
106.740000,0.028772,0.016484,0.040978,-0.013977
106.760000,0.032741,0.020341,0.046470,0.001455
106.780000,0.036705,0.024582,0.052030,0.010069
106.800000,0.040663,0.028321,0.057223,0.026782
106.820000,0.044616,0.034661,0.063027,0.031924
106.840000,0.048562,0.040222,0.068462,0.041149
106.860000,0.052501,0.042894,0.073728,0.042447
106.880000,0.056433,0.046991,0.078939,0.035226
106.900000,0.060357,0.051878,0.084187,0.037318
106.920000,0.064274,0.056009,0.089416,0.045485
106.940000,0.068182,0.060682,0.094712,0.051709
106.960000,0.072081,0.067178,0.100127,0.057910
106.980000,0.075972,0.073230,0.105516,0.050737
107.000000,0.079853,0.081936,0.111262,0.045136
107.020000,0.083724,0.091914,0.117230,0.047182
107.040000,0.087584,0.100802,0.123120,0.053273
107.060000,0.091434,0.112414,0.129229,0.068543
107.080000,0.095273,0.121794,0.135277,0.067986
107.340000,0.144003,0.166051,0.199076,0.137658
107.360000,0.147648,0.173345,0.202715,0.139918
107.380000,0.151276,0.179388,0.207290,0.146009
107.400000,0.154887,0.186609,0.211766,0.146779
107.420000,0.158481,0.193635,0.216643,0.157358
107.440000,0.162057,0.199066,0.221000,0.161757
107.460000,0.165615,0.205967,0.225424,0.165049
107.480000,0.169154,0.210544,0.229704,0.173669
107.500000,0.172675,0.214994,0.233775,0.181141
107.520000,0.176176,0.218614,0.237795,0.189375
107.540000,0.179658,0.224890,0.242136,0.209414
107.560000,0.183120,0.232619,0.246205,0.208262
107.580000,0.186562,0.235476,0.250102,0.210266
