time,odom_x,odom_y,kf_x,kf_y,kf_cov_x,kf_cov_y,kf_cov_yaw,ekf_x,ekf_y,ekf_cov_x,ekf_cov_y,ekf_cov_yaw,pf_x,pf_y,pf_cov_x,pf_cov_y,pf_cov_yaw,kf_rmse,ekf_rmse,pf_rmse
1.940000,0.000000,-0.000000,0.000000,0.000000,0.964101,0.964101,0.962252,0.000000,-0.000000,0.973164,0.976296,0.107262,-0.078631,0.027937,0.000000,0.000000,0.000000,0.000000,0.000000,0.031938
1.960000,0.000000,-0.000000,0.000000,0.000000,0.974156,0.974156,0.972274,0.000000,-0.000000,0.983218,0.986405,0.108284,-0.071484,0.020972,0.000000,0.000000,0.000000,0.000000,0.000000,0.032661
1.980000,0.000000,-0.000000,0.000000,0.000000,0.984225,0.984225,0.982301,0.000000,-0.000000,0.993287,0.996542,0.109311,-0.069861,0.028940,0.000000,0.000000,0.000000,0.000000,0.000000,0.033380
2.000000,0.000000,-0.000000,0.000000,0.000000,0.994279,0.994279,0.992323,0.000000,-0.000000,1.003345,1.006658,0.110334,-0.065687,0.017414,0.000000,0.000000,0.000000,0.000000,0.000000,0.033906
2.020000,0.000000,-0.000000,0.000000,0.000000,1.004330,1.004330,1.002344,-0.000000,0.000000,1.013392,1.016753,0.111353,-0.061984,0.009454,0.000000,0.000000,0.000000,0.000000,0.000000,0.034314
2.040000,0.000000,-0.000000,0.000000,0.000000,1.014370,1.014370,1.012360,-0.000000,0.000000,1.023431,1.026833,0.112369,-0.062570,0.004471,0.000000,0.000000,0.000000,0.000000,0.000000,0.034709
2.060000,0.000000,-0.000000,0.000000,0.000000,1.024402,1.024402,1.022373,-0.000000,0.000000,1.033463,1.036898,0.113383,-0.058336,-0.004928,0.000000,0.000000,0.000000,0.000000,0.000000,0.035022
2.080000,0.000000,-0.000000,0.000000,0.000000,1.034440,1.034440,1.032387,-0.000000,0.000000,1.043500,1.046971,0.114397,-0.050818,-0.001327,0.000000,0.000000,0.000000,0.000000,0.000000,0.035209
2.100000,0.000000,-0.000000,0.000000,0.000000,1.044471,1.044471,1.042400,-0.000000,0.000000,1.053530,1.057033,0.115410,-0.047103,-0.003456,0.000000,0.000000,0.000000,0.000000,0.000000,0.035344
2.120000,0.000000,-0.000000,0.000000,0.000000,1.054505,1.054505,1.052413,-0.000000,0.000000,1.063563,1.067099,0.116423,-0.053291,0.002393,0.000000,0.000000,0.000000,0.000000,0.000000,0.035559
2.140000,0.000000,-0.000000,0.000000,0.000000,1.064536,1.064536,1.062425,0.000000,0.000000,1.073594,1.077160,0.117436,-0.047841,-0.003955,0.000000,0.000000,0.000000,0.000000,0.000000,0.035697
2.160000,0.000000,-0.000000,0.000000,0.000000,1.074571,1.074571,1.072439,0.000000,0.000000,1.083626,1.087224,0.118448,-0.049612,0.003970,0.000000,0.000000,0.000000,0.000000,0.000000,0.035854
2.180000,0.000000,-0.000000,0.000000,0.000000,1.084604,1.084604,1.082453,0.000000,0.000000,1.093660,1.097292,0.119462,-0.057711,0.006216,0.000000,0.000000,0.000000,0.000000,0.000000,0.036122
2.200000,0.000000,-0.000000,0.000000,0.000000,1.094641,1.094641,1.092467,0.000000,0.000000,1.103699,1.107369,0.120477,-0.060112,0.014135,0.000000,0.000000,0.000000,0.000000,0.000000,0.036439
2.220000,0.000000,-0.000000,0.000000,0.000000,1.104677,1.104677,1.102482,0.000000,0.000000,1.113735,1.117441,0.121492,-0.069577,0.022501,0.000000,0.000000,0.000000,0.000000,0.000000,0.036937
2.240000,0.000000,-0.000000,0.000000,0.000000,1.114713,1.114713,1.112496,0.000000,0.000000,1.123771,1.127513,0.122506,-0.071885,0.008989,0.000000,0.000000,0.000000,0.000000,0.000000,0.037408
2.260000,0.000000,-0.000000,0.000000,0.000000,1.124751,1.124751,1.122511,0.000000,0.000000,1.133810,1.137591,0.123521,-0.076916,0.011541,0.000000,0.000000,0.000000,0.000000,0.000000,0.037958
2.280000,0.000000,-0.000000,0.000000,0.000000,1.134788,1.134788,1.132526,0.000000,0.000000,1.143847,1.147664,0.124536,-0.075281,0.019888,0.000000,0.000000,0.000000,0.000000,0.000000,0.038493
2.300000,0.000000,-0.000000,0.000000,0.000000,1.144818,1.144818,1.142539,0.000000,0.000000,1.153878,1.157727,0.125549,-0.088338,0.027397,0.000000,0.000000,0.000000,0.000000,0.000000,0.039291
2.320000,0.000000,-0.000000,0.000000,0.000000,1.154844,1.154844,1.152549,0.000000,0.000000,1.163902,1.167778,0.126559,-0.093162,0.019880,0.000000,0.000000,0.000000,0.000000,0.000000,0.040116
2.340000,0.000066,-0.000000,0.000067,0.000000,1.164867,1.164867,1.162558,0.000160,0.000000,1.173924,1.177823,0.127568,-0.100605,0.040558,0.000000,0.000000,0.000000,0.000000,0.000009,0.041194
2.360000,0.000496,-0.000000,0.000181,0.000000,1.174889,1.174889,1.172567,0.000728,0.000000,1.183946,1.187866,0.128577,-0.098826,0.040050,0.000000,0.000000,0.000000,0.000029,0.000023,0.042196
2.380000,0.001326,0.000000,0.000457,0.000000,1.184911,1.184911,1.182575,0.001690,0.000000,1.193966,1.197907,0.129585,-0.094187,0.035495,0.000000,0.000000,0.000000,0.000085,0.000041,0.043051
2.400000,0.002556,0.000000,0.001014,0.000000,1.194933,1.194933,1.192584,0.003091,0.000000,1.203988,1.207951,0.130594,-0.100917,0.029270,0.000000,0.000000,0.000000,0.000165,0.000064,0.043988
